variable_name,desc,type,range_values
Right SFG superior frontal gyrus Volume(cm3),,numerical,
Left SFG superior frontal gyrus Volume(cm3),,numerical,
Right SMC supplementary motor cortex Volume(cm3),,numerical,
Left SMC supplementary motor cortex Volume(cm3),,numerical,
Right SMG supramarginal gyrus Volume(cm3),,numerical,
Left SMG supramarginal gyrus Volume(cm3),,numerical,
Right SOG superior occipital gyrus Volume(cm3),,numerical,
Left SOG superior occipital gyrus Volume(cm3),,numerical,
Right SPL superior parietal lobule Volume(cm3),,numerical,
Left SPL superior parietal lobule Volume(cm3),,numerical,
Right STG superior temporal gyrus Volume(cm3),,numerical,
Left STG superior temporal gyrus Volume(cm3),,numerical,
Right TMP temporal pole Volume(cm3),,numerical,
Left TMP temporal pole Volume(cm3),,numerical,
Right TrIFG triangular part of the inferior frontal gyrus Volume(cm3),,numerical,
Left TrIFG triangular part of the inferior frontal gyrus Volume(cm3),,numerical,
Right TTG transverse temporal gyrus Volume(cm3),,numerical,
Left TTG transverse temporal gyrus Volume(cm3),,numerical,
edsd:MoCA,,numerical,
Mini Mental State,,numerical,
Gender_num,,nominal,
